#{"t_start": 1754444974.287548, "env_id": "None"}
r,l,t
-35.581768,6,2.964647
-27.615686,5,2.96764
-32.946266,6,2.96764
-28.922258,6,2.96764
-41.723713,6,2.973272
-37.10845,6,2.97826
-32.48664,8,2.983246
-38.50306,7,2.983246
-35.489296,7,2.986238
-36.44321,7,2.986238
-104.50405,17,2.986238
-39.990856,7,2.986238
-36.250744,6,2.989234
-29.52239,6,2.994221
-32.77625,6,3.000206
-35.68223,6,3.000206
-36.508175,5,3.000206
-34.67025,6,3.002199
-38.70301,6,3.002199
-27.4413,6,3.002199
-35.83832,7,3.008183
-30.871838,6,3.01129
-33.36136,6,3.016278
-34.92477,6,3.016278
-34.38506,6,3.018297
-26.953447,6,3.018297
-32.334816,8,3.021265
-35.760437,6,3.024257
-31.992321,8,3.024257
-35.13304,6,3.027248
-31.044264,6,3.032279
-28.203894,6,3.032279
-33.337677,6,3.035272
-35.13877,6,3.035272
-33.819588,6,3.038265
-36.78997,6,3.041255
-33.807198,7,3.044248
-53.522045,6,3.044248
-30.225729,5,3.04724
-30.984144,6,3.05477
-32.882973,7,3.05477
-37.146133,6,3.05776
-31.727488,5,3.05776
-38.026775,6,3.062747
-29.811821,11,3.065751
-36.25789,8,3.065751
-37.46739,6,3.071309
-34.286587,6,3.0743
-35.80342,7,3.076297
-27.462637,8,3.076297
-29.543947,6,3.079287
-34.411007,6,3.082278
-70.374054,18,3.082278
-38.761883,6,3.082278
-32.895298,6,3.087266
-40.62595,6,3.090279
-38.876755,6,3.093271
-36.288994,7,3.095266
-32.281536,6,3.096262
-28.007742,6,3.098258
-30.125877,6,3.103244
-27.362064,8,3.103244
-26.362188,8,3.103244
-24.77738,7,3.10928
-34.006363,6,3.112273
-30.785912,6,3.112273
-30.595144,7,3.112273
-36.71584,6,3.114269
-38.7229,6,3.120253
-32.56763,6,3.120253
-35.492077,6,3.120253
-39.504337,6,3.128232
-29.244812,6,3.128232
-38.48819,7,3.128232
-44.160538,6,3.131232
-40.095203,6,3.136219
-42.626995,6,3.136219
-36.613213,10,3.139211
-32.591187,7,3.139211
-31.444962,6,3.145194
-36.000607,6,3.145194
-26.091022,6,3.147189
-29.69069,8,3.150755
-33.363132,7,3.155742
-32.747536,6,3.155742
-35.42079,6,3.155742
-32.647846,7,3.155742
-30.976894,6,3.160728
