#{"t_start": 1754489820.6862004, "env_id": "None"}
r,l,t
-2486.0798,81,19.15993
-61.183712,27,19.166446
-113.679665,29,19.182076
-12.761215,26,19.186078
-16.851889,28,19.187076
-2784.2297,86,19.189077
-113.01364,32,19.217755
-12.496771,26,19.228042
-9.844708,25,19.230052
-62.406982,28,19.237393
-2288.2598,79,19.250906
-892.32074,54,19.260036
-60.4234,28,19.263483
-61.94152,30,19.278
-895.06647,53,19.278
-113.67873,28,19.297875
-2583.4502,83,19.301381
-600.4367,43,19.310896
-111.36454,30,19.312903
-62.771675,30,19.316902
-64.39926,28,19.327417
-61.225594,31,19.332929
-12.78947,25,19.354952
-12.654647,27,19.359955
-12.154629,25,19.359955
-359.90482,34,19.361459
-14.8149185,26,19.371972
-2590.3308,85,19.374972
-12.380762,24,19.401509
-304.5873,34,19.411025
-10.963662,27,19.416035
-2585.34,81,19.435722
-13.478866,26,19.444242
-2086.5266,71,19.450747
-13.525654,26,19.454761
-14.571921,25,19.457762
-1334.0284,62,19.463275
-940.3788,62,19.47779
-2393.7424,78,19.489037
-61.56881,28,19.496552
-64.90266,27,19.498552
-10.881774,27,19.502064
-14.207215,24,19.517299
-15.25751,27,19.535214
-14.446138,23,19.541736
-1943.6516,70,19.554246
-258.64627,34,19.555248
-64.73458,26,19.561764
-2336.0725,79,19.576869
-949.6205,48,19.580868
-14.134358,23,19.592082
-2638.1318,79,19.596091
-14.20324,24,19.596091
-205.6638,33,19.598088
-14.514013,28,19.609558
-60.115368,29,19.629587
-988.6465,61,19.638102
-109.671265,28,19.644377
-64.16575,29,19.644377
-108.46221,27,19.653891
-159.3393,28,19.675924
-11.9386835,26,19.680924
-12.688749,24,19.684256
-2234.0024,79,19.709254
-13.914458,26,19.718767
-60.458115,28,19.728022
-2535.8948,82,19.729023
-2680.2712,84,19.736158
-10.420382,27,19.764723
-62.2469,25,19.771229
-61.55316,23,19.77424
-2536.0046,80,19.778242
-113.801,30,19.778242
-2836.9697,84,19.795275
-12.907015,25,19.806784
-2434.8276,79,19.816847
-111.78309,28,19.823054
-12.582302,26,19.823054
-159.45816,32,19.826057
-2388.5823,79,19.844086
-65.63458,29,19.846087
-63.426144,29,19.85837
-14.093854,26,19.863883
-15.389969,28,19.872394
-10.704482,28,19.872394
-112.465195,31,19.880902
-11.60392,29,19.89619
-2586.8672,79,19.914823
-12.401872,26,19.916826
-13.714244,24,19.921329
-162.31953,29,19.921329
-844.9697,50,19.954373
-258.87967,35,19.962883
-64.78325,28,19.970888
-1841.304,69,19.971398
-61.572678,27,19.97841
-1937.6165,69,19.989388
-255.64395,36,19.992909
-111.34641,29,20.024451
-62.31239,29,20.037968
-1034.1538,57,20.039968
-10.396339,27,20.043484
-113.32187,32,20.055524
-61.79708,27,20.075555
-63.408646,27,20.089069
-15.042798,26,20.089069
-1792.9911,68,20.091069
-12.971661,26,20.093213
-2042.4158,71,20.109748
-1889.2078,74,20.114271
-14.925024,24,20.130944
-13.551827,27,20.134032
-255.2555,36,20.137034
-158.54944,30,20.142542
-11.495988,27,20.153587
-12.793412,26,20.179152
-13.28719,25,20.182755
-1985.5646,73,20.208392
-1244.6875,60,20.2119
-3174.182,96,20.2169
-547.29663,53,20.2199
-60.213467,29,20.229385
-14.264331,27,20.25192
-13.97425,23,20.253214
-1495.498,63,20.255215
-112.23152,29,20.259216
-596.63965,51,20.26273
-108.786766,27,20.264729
-2834.9536,88,20.273994
-453.42596,36,20.28836
-12.700958,24,20.293869
-157.96472,33,20.313893
-62.13654,28,20.320893
-13.177982,24,20.330039
-62.961098,28,20.341167
-940.23413,54,20.34333
-13.768512,25,20.356354
-1198.0055,58,20.359354
-9.312319,28,20.368865
-13.007806,24,20.370872
-1692.5435,71,20.375026
-63.500393,25,20.383297
-111.976685,28,20.389297
-2685.3206,83,20.402108
-60.023327,29,20.404114
-14.6917095,30,20.409114
-11.270312,26,20.410115
-14.388144,26,20.412629
-163.1553,30,20.424139
-13.437271,25,20.424139
-162.01369,31,33.184838
-12.737208,25,33.189838
-13.3372555,24,33.193034
-113.49964,28,33.201542
-109.37782,29,33.204551
-13.18136,26,33.212085
-108.4886,30,33.220087
-59.62647,28,33.233161
-160.31012,29,33.240912
-110.83888,31,33.248441
-13.522714,25,33.250948
-107.992744,30,33.27658
-14.647731,23,33.27858
-2523.6196,83,33.295612
-798.14703,50,33.295612
-156.00534,30,33.299613
-155.8841,29,33.305132
-992.7188,56,33.318667
-13.664745,26,33.329187
-61.02303,27,33.329187
-64.53519,27,33.351111
-205.30919,32,33.360642
-15.638918,22,33.365211
-62.026802,25,33.381254
-60.86633,28,33.387259
-13.945632,22,33.394777
-2289.8857,76,33.402291
-62.49176,27,33.412819
-161.00714,33,33.430849
-14.7156105,27,33.440861
-14.997048,26,33.446382
-2230.3223,76,33.452909
-60.387833,26,33.454909
-13.331707,23,33.459907
-2439.6692,78,33.462427
-163.20782,31,33.490966
-1137.994,59,33.497238
-110.00336,29,33.497238
-12.297787,24,33.499238
-13.769324,25,33.502756
-12.860123,24,33.508904
-310.3394,33,33.510904
-63.429955,28,33.514426
-10.433461,27,33.543735
-10.847951,25,33.547735
-64.7129,26,33.547735
-14.259398,22,33.553806
-11.692124,26,33.566328
-206.20004,30,33.568855
-12.580311,27,33.603002
-13.151242,25,33.603002
-12.191852,27,33.60631
-61.907604,27,33.624807
-60.112217,29,33.630274
-1642.3131,67,33.634561
-453.22708,39,33.635777
-2240.2646,74,33.656496
-109.820786,28,33.660306
-14.797086,26,33.660306
-255.2106,32,33.670055
-12.863421,26,33.68651
-12.386183,26,33.690343
-14.874246,23,33.708076
-14.481032,25,33.71876
-207.33696,32,33.72523
-63.99822,28,33.743254
-11.577456,27,33.758774
-13.008536,23,33.762295
-2241.2505,72,33.768303
-1282.7014,61,33.774863
-63.05618,28,33.776864
-797.2716,53,33.786018
-2336.332,76,33.786018
-62.90945,27,33.805929
-62.758324,26,33.813928
-61.406998,26,33.822605
-11.849028,24,33.827606
-13.933138,27,33.834126
-111.41966,32,33.873422
-59.305637,28,33.880946
-2190.7415,76,33.881957
-1443.5905,62,33.886956
-112.338356,30,33.888956
-2280.4126,78,33.903998
-61.203022,27,33.924768
-106.199905,31,33.940804
-11.315095,28,33.944827
-157.79346,29,33.944827
-458.38733,35,33.949088
-2331.9875,80,33.956609
-2485.6094,80,33.972672
-14.291308,26,33.972672
-12.869654,26,33.998981
-108.87118,30,34.001489
-12.644978,25,34.006024
-13.917502,24,34.022084
-12.601337,28,34.02808
-1942.3718,71,34.039596
-1191.7963,56,34.049114
-61.44585,26,34.049114
-15.849644,28,34.051116
-109.1458,26,34.052637
-992.0485,62,34.057878
-15.210484,26,34.088827
-14.7571945,22,34.091336
-61.607365,26,34.098347
-60.037895,28,34.103883
-60.92952,28,34.105885
-112.19645,27,34.107884
-594.2958,50,34.112402
-16.624031,23,34.135448
-62.613373,26,34.141974
-61.06397,25,34.159229
-14.902893,25,34.165193
-13.34799,25,34.17176
-61.599194,28,34.20399
-110.43397,28,34.20799
-10.506192,27,34.22741
-3174.8613,97,34.23293
-791.0114,56,34.234941
-62.623844,28,34.237947
-1289.1539,62,34.240941
-63.943367,25,34.273491
-110.43476,27,34.273491
-12.200436,26,34.295699
-16.848993,22,34.295699
-65.67451,27,34.302211
-63.313316,28,34.306221
-1334.9072,60,34.306221
-61.22924,25,34.333181
-107.97015,31,34.347085
-64.46554,27,34.357809
-946.7148,51,34.366784
-16.208395,26,34.368783
-64.31354,28,34.374271
-13.23721,25,34.389881
-108.14478,27,34.406924
-160.51805,29,34.42269
-65.237076,26,34.4247
-845.0579,54,34.4247
-206.37242,33,34.43522
-12.57049,25,34.440726
-1593.3429,67,34.442738
-61.621323,29,34.462155
-15.184875,25,34.471699
-65.52594,29,34.478257
-12.575197,25,34.492348
-12.4858885,25,34.493345
-59.94489,27,34.520079
-60.979286,27,34.528246
-13.8657,26,34.532767
-2681.686,85,34.547297
-208.11209,33,34.560169
-112.18043,25,34.573293
-2138.699,74,34.575292
-257.7996,32,34.597469
-160.34502,27,34.607003
-2684.887,86,34.614521
-210.04668,30,34.626058
-111.71114,29,34.66803
-2731.84,83,34.671536
-592.39575,46,34.679264
-59.691063,28,34.692049
-2740.6877,83,34.727177
-1094.4061,58,34.740701
-13.468325,27,34.749058
-11.388503,29,34.752578
-2239.587,79,34.770062
-160.94992,33,34.773207
-57.78208,29,34.777206
-16.602596,25,34.796661
-1939.6326,71,34.799659
-108.57713,27,34.816069
-13.743143,25,34.819068
-64.03509,25,34.836652
-163.07274,32,34.838892
-15.185455,27,34.844127
-111.726326,28,34.851024
-206.67276,33,34.883185
-14.926233,28,34.889683
-210.48404,31,34.8952
-61.669685,27,34.904737
-12.666799,25,34.904737
-12.832759,26,34.911244
-598.2406,51,34.923009
-158.95168,28,34.954135
-63.286766,27,34.963677
-62.8518,29,34.969703
-2238.715,75,35.023267
-1239.4548,58,35.02727
-61.41534,27,35.042104
-1244.6987,58,35.073229
-2287.5808,77,35.081717
-699.9451,49,35.087727
-62.791153,25,35.091237
-2292.321,75,35.108083
-592.52905,55,35.117201
-209.60129,29,35.124609
-14.171998,26,35.143607
-61.38159,28,35.153131
-112.02519,30,35.163146
-11.083883,25,35.163146
-61.43407,25,35.180721
-108.24613,28,35.180721
-2141.1208,72,35.209992
-14.88238,28,35.215811
-110.93988,28,35.228299
-115.23338,29,35.267155
-1993.0612,71,35.279149
-14.5038805,24,35.279149
-59.77938,26,35.291764
