#{"t_start": 1754459788.8921247, "env_id": "None"}
r,l,t
2091.5095,256,136.839107
1301.339,171,136.870316
937.48114,141,137.039616
1181.9384,147,137.202341
1731.0994,214,137.302613
1859.7887,245,137.44063
6790.3066,1000,137.587793
2059.4167,252,137.603384
1668.1929,210,137.656856
1260.0695,182,137.688078
1417.5714,202,137.919604
1313.5663,175,138.041972
1210.9017,161,138.088838
2115.732,251,148.755191
1622.8098,215,148.775292
2012.3213,254,149.117379
1594.0486,203,149.147717
1183.614,167,149.256321
1953.8888,262,149.271949
2100.3235,258,149.519296
1204.7876,153,149.688668
1604.5032,214,149.735531
6214.743,1000,149.735531
1571.201,218,149.773321
2055.6658,249,149.958202
1467.0382,195,150.020694
2136.351,247,150.337138
2024.6278,251,150.374892
2022.517,256,150.390549
2334.0574,271,150.478983
2030.1362,246,150.600708
876.44104,140,150.698871
1403.0903,193,150.89838
1636.3337,225,150.978542
1442.6554,210,151.03849
1362.6616,169,151.058971
2138.2336,256,151.418247
1476.5741,204,151.558944
2072.2686,255,151.629411
1735.8844,229,151.690338
1947.0725,248,151.737201
1365.6769,173,151.875227
1139.155,150,151.961968
730.6073,117,152.269522
1803.6013,244,152.318608
2072.6206,256,152.423388
2156.188,268,152.608742
2057.5542,1000,152.738674
2202.511,416,152.754297
1604.8826,254,152.999358
1987.6244,253,153.062722
1384.0782,192,153.179399
2211.3005,272,153.220823
1969.1559,230,153.400776
1865.4766,254,153.48048
1919.4039,245,153.662938
1427.0062,195,153.742863
1908.5726,253,153.747849
2001.7692,256,153.840362
787.37415,129,154.000618
2132.3452,249,154.040328
844.3875,146,154.119798
868.078,146,154.229648
2092.5176,257,164.008351
2075.7847,248,164.220171
1249.5706,170,164.241681
1922.6108,247,164.241681
1866.8466,241,164.301562
1966.0555,252,164.601711
1102.4983,152,164.664199
2071.4917,252,164.818507
1965.5383,246,164.818507
2072.2424,244,164.834128
1139.6438,164,165.06707
2017.9954,243,165.208847
1965.7993,244,165.425019
1915.0479,242,165.430005
2020.1676,256,165.457663
5973.147,1000,165.535181
1535.3683,214,165.588558
2037.1305,251,165.79625
1367.4713,172,165.822009
990.711,138,165.907448
1333.0258,187,165.990052
1857.48,248,166.046676
1748.2721,316,166.183111
1062.5438,163,166.306378
1895.5327,251,166.415216
1700.8263,219,166.544079
1785.9648,220,166.625479
783.4238,125,166.642326
2081.3425,260,166.849672
1885.7065,248,167.06302
1953.1483,244,167.190152
1911.67,235,167.244088
1746.081,231,167.2618
1270.5107,173,167.320653
1251.3574,196,167.609483
1109.1204,151,167.656347
1504.567,210,167.764605
2079.5325,257,167.954692
1944.7722,245,167.979116
2105.1973,307,168.395695
6861.264,1000,168.426975
2120.528,255,168.589736
2711.7947,391,168.643113
2115.354,255,177.769522
1933.0758,249,177.789386
1256.5698,184,177.874776
2160.3748,251,177.989933
1340.6244,193,178.310835
1476.601,203,178.42676
1918.0095,231,178.42676
1734.2474,223,178.582589
1210.0325,167,178.821495
1216.3566,164,178.967933
2014.5417,1000,179.058664
1993.0806,294,179.146916
7215.8506,1000,179.257048
835.2483,137,179.465665
1453.1682,206,179.556983
2075.0398,248,179.574917
1673.8302,217,179.790736
1668.476,219,180.018949
2084.9167,245,180.170988
2096.2058,249,180.198565
1241.2172,162,180.426828
2518.211,342,180.632831
1634.1135,221,180.714483
6611.819,1000,180.783514
1846.5459,243,180.799137
1162.4877,166,180.830348
1292.1423,163,181.049425
860.3866,136,181.144016
1331.944,184,181.299583
6735.785,1000,181.343636
1651.3076,234,181.346884
2095.1653,255,181.546578
1978.9221,250,181.793636
1253.273,169,181.855222
2056.6082,257,181.891686
2191.2937,255,182.049373
2031.4504,253,182.081731
1991.0728,243,182.268623
1368.0211,176,182.302532
1112.2139,151,182.457886
2023.8502,251,182.527798
2094.7678,255,182.55793
2076.13,258,182.727791
2073.8174,252,182.858259
2031.2446,271,182.932834
2074.084,255,192.321322
1931.6095,244,192.34152
1674.9565,217,192.463358
